Requirement,RECOMMENDED,MUST,MUST,MUST,MUST,MUST,MUST,MUST if capacity reservations are supported,MUST if capacity reservations are supported,MUST,MUST,MUST,RECOMMENDED,MUST,MUST,MUST if provider supports commitment discounts,MUST if provider supports commitment discounts,MUST if provider supports commitment discounts,MUST if provider supports commitment discounts,MUST if provider supports commitment discounts,MUST if provider supports commitment discounts,MUST if provider supports commitment discounts,MUST when the provider supports the measurement of usage,MUST when the provider supports the measurement of usage,MUST,MUST when the provider supports negotiated pricing concepts,MUST,MUST,MUST,MUST when the provider publishes unit prices exclusive of discounts,MUST when the provider supports more than one pricing category across all SKUs,MUST,MUST,MUST,MUST,MUST be present in a FOCUS dataset when the provider supports deploying resources or services within a region,MUST be present in a FOCUS dataset when the provider supports deploying resources or services within a region,MUST when the provider supports billing based on provisioned resources,MUST when the provider supports billing based on provisioned resources,MUST when the provider supports billing based on provisioned resources,MUST,MUST,RECOMMENDED,MUST when the provider publishes a SKU list,MUST when the provider includes a SkuId,MUST when the provider includes a SkuPriceId,MUST when the provider publishes a SKU price list,MUST when the provider supports a sub account construct,MUST when the provider supports a sub account construct,MUST when the provider supports setting user or provider-defined tags
,"In the following 2 months, the customer has usage at or above the minimum requirement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"After that, AwesomeCorp does not use Acme services and gets a charge each month for the minimum spend of $60.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"On the final month of the contract ChargePeriod, Acme charges the total unused portion of the contract ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,48,000-00-000,MyBillingAcct,USD,5/1/2025,4/1/2025,,,Usage,,Monthly usage charge,Usage-Based,5/1/2025,4/1/2025,,,,,,,,4,Server Hours,48,12,48,Acme Co,60,15,,10,Server Hours,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,12,000-00-000,MyBillingAcct,USD,5/1/2025,4/1/2025,,,Usage,,Monthly unused fee,One-Time,5/1/2025,4/1/2025,,,,,,,,,,12,,12,Acme Co,12,,,,,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,120,000-00-000,MyBillingAcct,USD,6/1/2025,5/1/2025,,,Usage,,Monthly usage charge,Usage-Based,6/1/2025,5/1/2025,,,,,,,,10,Server Hours,120,12,120,Acme Co,150,15,,10,Server Hours,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,60,000-00-000,MyBillingAcct,USD,7/1/2025,6/1/2025,,,Usage,,Monthly usage charge,Usage-Based,7/1/2025,6/1/2025,,,,,,,,5,Server Hours,60,12,60,Acme Co,75,15,,5,Server Hours,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,60,000-00-000,MyBillingAcct,USD,8/1/2025,7/1/2025,,,Usage,,Monthly unused fee,One-Time,8/1/2025,7/1/2025,,,,,,,,,,60,,60,Acme Co,60,,,,,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,60,000-00-000,MyBillingAcct,USD,9/1/2025,8/1/2025,,,Usage,,Monthly unused fee,One-Time,9/1/2025,8/1/2025,,,,,,,,,,60,,60,Acme Co,60,,,,,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,60,000-00-000,MyBillingAcct,USD,10/1/2025,9/1/2025,,,Usage,,Monthly unused fee,One-Time,10/1/2025,9/1/2025,,,,,,,,,,60,,60,Acme Co,60,,,,,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,60,000-00-000,MyBillingAcct,USD,11/1/2025,10/1/2025,,,Usage,,Monthly unused fee,One-Time,11/1/2025,10/1/2025,,,,,,,,,,60,,60,Acme Co,60,,,,,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,60,000-00-000,MyBillingAcct,USD,12/1/2025,11/1/2025,,,Usage,,Monthly unused fee,One-Time,12/1/2025,11/1/2025,,,,,,,,,,60,,60,Acme Co,60,,,,,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,60,000-00-000,MyBillingAcct,USD,1/1/2026,12/1/2025,,,Usage,,Monthly unused fee,One-Time,1/1/2026,12/1/2025,,,,,,,,,,60,,60,Acme Co,60,,,,,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,60,000-00-000,MyBillingAcct,USD,2/1/2026,1/1/2026,,,Usage,,Monthly unused fee,One-Time,2/1/2026,1/1/2026,,,,,,,,,,60,,60,Acme Co,60,,,,,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,60,000-00-000,MyBillingAcct,USD,3/1/2026,2/1/2026,,,Usage,,Monthly unused fee,One-Time,3/1/2026,2/1/2026,,,,,,,,,,60,,60,Acme Co,60,,,,,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,480,000-00-000,MyBillingAcct,USD,4/1/2026,3/1/2026,,,Usage,,End of contract unused fee,One-Time,4/1/2026,4/1/2025,,,,,,,,,,480,,480,Acme Co,480,,,,,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,1200,,,,,,,,,,,,,,,,,,,,,,,1200,,1200,,1257,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario B: Prepaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"On April 1 2025, AwesomeCorp agrees to spend $1200 (post-discounts) in the upcoming 12-months at Acme Co with a $1200 up-front payment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"AwesomeCorp receives a 20% negotiated discount in return for the commitment. In this case, the spend commitment is tallied up *after discounts* (like the negotiated discounts) are applied. Providers could use cost prior to discounts i.e., List Cost for their committed spend calculations as well.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario B1,"Same as Scenario A1 above, except for the pre-payment and subsequent usage and fee-records not having a Billed Cost (since everything was paid up-front)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1200,000-00-000,MyBillingAcct,USD,5/1/2025,4/1/2025,,,Purchase,,$1200 pre-payment for usage in the next 12 months,One-Time,4/1/2026,4/1/2025,,,,,,,,,,1200,,0,,1200,,,,,,,,,,,,,,,,,,,,,
,,0,000-00-000,MyBillingAcct,USD,5/1/2025,4/1/2025,,,Usage,,Monthly usage charge,Usage-Based,5/1/2025,4/1/2025,,,,,,,,4,Server Hours,48,12,48,Acme Co,60,15,,10,Server Hours,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,0,000-00-000,MyBillingAcct,USD,6/1/2025,5/1/2025,,,Usage,,Monthly usage charge,Usage-Based,6/1/2025,5/1/2025,,,,,,,,10,Server Hours,120,12,120,Acme Co,150,15,,10,Server Hours,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,0,000-00-000,MyBillingAcct,USD,7/1/2025,6/1/2025,,,Usage,,Monthly usage charge,Usage-Based,7/1/2025,6/1/2025,,,,,,,,5,Server Hours,60,12,60,Acme Co,75,15,,5,Server Hours,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,0,000-00-000,MyBillingAcct,USD,4/1/2026,3/1/2026,,,Usage,,End of contract unused fee,One-Time,4/1/2026,4/1/2025,,,,,,,,,,972,,972,Acme Co,972,,,,,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,1200,,,,,,,,,,,,,,,,,,,,,,,2400,,1200,,2457,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario B2,"Same as Scenario A2 above, except for the pre-payment and subsequent usage and fee-records not having a Billed Cost (since everything was paid up-front)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1200,000-00-000,MyBillingAcct,USD,5/1/2025,4/1/2025,,,Purchase,,$1200 pre-payment for usage in the next 12 months,One-Time,4/1/2026,4/1/2025,,,,,,,,,,1200,,0,,1200,,,,,,,,,,,,,,,,,,,,,
,,0,000-00-000,MyBillingAcct,USD,5/1/2025,4/1/2025,,,Usage,,Monthly usage charge,Usage-Based,5/1/2025,4/1/2025,,,,,,,,4,Server Hours,48,12,48,Acme Co,60,15,,10,Server Hours,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,0,000-00-000,MyBillingAcct,USD,5/1/2025,4/1/2025,,,Usage,,Monthly unused fee,One-Time,5/1/2025,4/1/2025,,,,,,,,,,12,,12,Acme Co,12,,,,,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,0,000-00-000,MyBillingAcct,USD,6/1/2025,5/1/2025,,,Usage,,Monthly usage charge,Usage-Based,6/1/2025,5/1/2025,,,,,,,,10,Server Hours,120,12,120,Acme Co,150,15,,10,Server Hours,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,0,000-00-000,MyBillingAcct,USD,7/1/2025,6/1/2025,,,Usage,,Monthly usage charge,Usage-Based,7/1/2025,6/1/2025,,,,,,,,5,Server Hours,60,12,60,Acme Co,75,15,,5,Server Hours,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,0,000-00-000,MyBillingAcct,USD,8/1/2025,7/1/2025,,,Usage,,Monthly unused fee,One-Time,8/1/2025,7/1/2025,,,,,,,,,,60,,60,Acme Co,60,,,,,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,0,000-00-000,MyBillingAcct,USD,9/1/2025,8/1/2025,,,Usage,,Monthly unused fee,One-Time,9/1/2025,8/1/2025,,,,,,,,,,60,,60,Acme Co,60,,,,,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,0,000-00-000,MyBillingAcct,USD,10/1/2025,9/1/2025,,,Usage,,Monthly unused fee,One-Time,10/1/2025,9/1/2025,,,,,,,,,,60,,60,Acme Co,60,,,,,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,0,000-00-000,MyBillingAcct,USD,11/1/2025,10/1/2025,,,Usage,,Monthly unused fee,One-Time,11/1/2025,10/1/2025,,,,,,,,,,60,,60,Acme Co,60,,,,,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,0,000-00-000,MyBillingAcct,USD,12/1/2025,11/1/2025,,,Usage,,Monthly unused fee,One-Time,12/1/2025,11/1/2025,,,,,,,,,,60,,60,Acme Co,60,,,,,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,0,000-00-000,MyBillingAcct,USD,1/1/2026,12/1/2025,,,Usage,,Monthly unused fee,One-Time,1/1/2026,12/1/2025,,,,,,,,,,60,,60,Acme Co,60,,,,,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,0,000-00-000,MyBillingAcct,USD,2/1/2026,1/1/2026,,,Usage,,Monthly unused fee,One-Time,2/1/2026,1/1/2026,,,,,,,,,,60,,60,Acme Co,60,,,,,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,0,000-00-000,MyBillingAcct,USD,3/1/2026,2/1/2026,,,Usage,,Monthly unused fee,One-Time,3/1/2026,2/1/2026,,,,,,,,,,60,,60,Acme Co,60,,,,,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,0,000-00-000,MyBillingAcct,USD,4/1/2026,3/1/2026,,,Usage,,End of contract unused fee,One-Time,4/1/2026,4/1/2025,,,,,,,,,,480,,480,Acme Co,480,,,,,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,1200,,,,,,,,,,,,,,,,,,,,,,,2400,,1200,,2457,,,,,,,,,,,,,,,,,,,,,
